Configuration	Term	g	Level (eV)
2p5.3p.(1D<2>).4p		6	41.2941
2p5.3p.(3S<1>).9p	2[1]*	6	41.3165
2p5.3p.(3S<1>).10p	2[1]*	6	41.351
2p5.3p.(3S<1>).11p	2[1]*	6	41.377
2p5.3p.(3S<1>).12p	2[1]*	6	41.3941
2p5.3p.(3S<1>).13p	2[1]*	6	41.4089
2p5.3p.(1P<1>).4p		6	41.4162
2p5.3p.(3S<1>).14p	2[1]*	6	41.4213
2p5.3p.(3S<1>).15p	2[1]*	6	41.4317
2p5.3p.(3S<1>).16p	2[1]*	6	41.4371
2p5.3p.(3P<1>).4p.(II)		6	41.4871
2p5.3p.(1D<2>).5p		6	41.6599
2p5.3p.(3P<1>).6p.(I)		6	41.6908
2p5.3p.(1P<1>).5p		6	41.7483
2p5.3p.(3P<1>).5p.(II)		6	41.8145
2p5.3p.(1D<2>).6p		6	41.8345
2p5.3p.(1P<1>).6p		6	41.9251
2p5.3p.(3P<1>).7p.(I)		6	41.9276
2p5.3p.(1D<2>).7p		6	41.944
2p5.3p.(3P<1>).6p.(II)		6	42.0114
2p5.3p.(1D<2>).8p		6	42.0129
2p5.3p.(1P<1>).7p		6	42.03
2p5.3p.(1D<2>).9p		6	42.0614
2p5.3p.(3P<1>).8p.(I)		6	42.0642
2p5.3p.(1D<2>).10p		6	42.0941
2p5.3p.(1P<1>).8p		6	42.1013
2p5.3p.(3P<1>).7p.(II)		6	42.1085
2p5.3p.(1P<1>).9p		6	42.1457
2p5.3p.(3P<1>).9p.(I)		6	42.1457
2p5.3p.(3P<1>).8p.(II)		6	42.1758
2p5.3p.(1P<1>).10p		6	42.1787
2p5.3p.(3P<1>).10p.(I)		6	42.2016
2p5.3p.(1P<1>).11p		6	42.2045
2p5.3p.(1P<1>).12p		6	42.2232
2p5.3p.(3P<1>).9p.(II)		6	42.2232
2p5.3p.(1P<1>).13p		6	42.2376
2p5.3p.(3P<1>).11p.(I)		6	42.2419
2p5.3p.(1P<1>).14p		6	42.2491
2p5.3p.(3P<1>).10p.(II)		6	42.2563
2p5.3p.(3P<1>).12p.(I)		6	42.2722
2p5.3p.(3P<1>).11p.(II)		6	42.2808
2p5.3p.(3P<1>).13p.(I)		6	42.2924
2p5.3p.(3P<1>).12p.(II)		6	42.303
2p5.3p.(3P<1>).13p.(II)		6	42.326
2p5.3p.(3P<1>).14p.(II)		6	42.329
2p5.3p.(3P<1>).15p.(II)		6	42.344
2p5.3p.(1S<0>).4p	2[1]*	6	42.4787
2p5.3p.(1S<0>).5p	2[1]*	6	42.8339
2p5.3p.(1S<0>).6p	2[1]*	6	43.0257
2p5.3p.(1S<0>).7p	2[1]*	6	43.137
2p5.3p.(1S<0>).8p	2[1]*	6	43.2085
2p5.3p.(1S<0>).9p	2[1]*	6	43.2572
2p5.3p.(1S<0>).10p	2[1]*	6	43.2911
2p5.3p.(1S<0>).11p	2[1]*	6	43.3178
2p5.3p.(1S<0>).12p	2[1]*	6	43.3345
2p5.3p.(1S<0>).13p	2[1]*	6	43.3496
2p5.3p.(1S<0>).14p	2[1]*	6	43.3617
2p5.3p.(1S<0>).15p	2[1]*	6	43.3724
2p5.3p.(1S<0>).16p	2[1]*	6	43.3785
2p5.3p.(1S<0>).17p	2[1]*	6	43.386
2p5.3p.(1S<0>).18p	2[1]*	6	43.3921
2p5.3p.(1S<0>).19p	2[1]*	6	43.3951
2p5.3d.(3P*<2>).4s	2[2]*	4	43.3965
2p5.3d.(1P*<1>).4s	2[1]*	6	43.4499
2p5.4s.(3P*<1>).5s	2[1]*	6	43.6118
2p5.3d.(3D*<1>).4s	2[1]*	6	44.0911
2p5.3d.(1P*<1>).3d		6	44.7367
2p5.4s.(3P*<1>).3d		6	44.7739
2p5.4s.(1P*<1>).3d		6	44.8101
2p5.3d.(3P*<2>).5s	2[2]*	4	44.8885
2p5.3d.(1P*<1>).5s	2[1]*	6	44.9072
2p5.4s.(3P*<1>).6s	2[1]*	6	44.9887
2p5.3d.(3F*<2>).4d		6	45.2252
2p5.3d.(3D*<1>).5s	2[1]*	6	45.253
2p5.3d.(3P*<2>).6s	2[2]*	4	45.4036
2p5.3d.(1P*<1>).4d		6	45.4038
2p5.4s.(3P*<1>).4d		6	45.4309
2p5.3d.(1P*<1>).6s	2[1]*	6	45.4938
2p5.4s.(3P*<1>).7s	2[1]*	6	45.5289
2p5.4s.(1P*<1>).4d		6	45.5523
2p5.3d.(3F*<2>).5d		6	45.6205
2p5.3d.(3P*<2>).7s	2[2]*	4	45.6618
2p5.4s.(3P*<1>).5d		6	45.7186
2p5.3d.(1P*<1>).5d		6	45.7186
2p5.3d.(3D*<1>).6s	2[1]*	6	45.7438
2p5.3d.(1P*<1>).7s	2[1]*	6	45.754
2p5.4s.(3P*<1>).8s	2[1]*	6	45.7912
2p5.3d.(3P*<2>).8s	2[2]*	4	45.8065
2p5.3d.(3F*<2>).6d		6	45.8301
2p5.4s.(1P*<1>).5d		6	45.8732
2p5.3d.(1P*<1>).6d		6	45.8861
2p5.3d.(3P*<2>).9s	2[2]*	4	45.8911
2p5.4s.(3P*<1>).6d		6	45.8997
2p5.3d.(1P*<1>).8s	2[1]*	6	45.9099
2p5.4s.(3P*<1>).9s	2[1]*	6	45.9405
2p5.3d.(3F*<2>).7d		6	45.9524
2p5.3d.(3P*<2>).10s	2[2]*	4	45.9541
2p5.3d.(3D*<1>).7s	2[1]*	6	45.9763
2p5.3d.(1P*<1>).7d		6	45.9865
2p5.3d.(1P*<1>).9s	2[1]*	6	46.0001
2p5.4s.(3P*<1>).7d		6	46.0001
2p5.3d.(3F*<2>).8d		6	46.0275
2p5.4s.(3P*<1>).10s	2[1]*	6	46.0275
2p5.4s.(1P*<1>).6d		6	46.0531
2p5.3d.(1P*<1>).8d		6	46.0565
2p5.3d.(1P*<1>).10s	2[1]*	6	46.0668
2p5.4s.(3P*<1>).8d		6	46.0686
2p5.3d.(3F*<2>).9d		6	46.0805
2p5.3d.(1P*<1>).9d		6	46.101
2p5.3d.(3F*<2>).10d		6	46.1148
2p5.4s.(3P*<1>).9d		6	46.1148
2p5.3d.(3D*<1>).8s	2[1]*	6	46.1148
2p5.3d.(3F*<2>).11d		6	46.1405
